,corrected_question,sparql_query,answer,entity,wiki_answer
3881,What is the major shrine of Jacques-Dsir Laval ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jacques-Désiré_Laval> <http://dbpedia.org/ontology/majorShrine> ?uri } ,"['http://dbpedia.org/resource/Sainte-Croix,_Mauritius', 'http://dbpedia.org/resource/Mauritius']",Laval,La Val
3884,What is the county of Saint Lucia national cricket team ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saint_Lucia_national_cricket_team> <http://dbpedia.org/ontology/county> ?uri } ,[],Saint Lucia national cricket team,"St Lucia Squad - 2014
St Lucia"
3885,Who is the Pole driver of 1997 Canadian Grand Prix ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1997_Canadian_Grand_Prix> <http://dbpedia.org/property/poleDriver> ?uri } ,['http://dbpedia.org/resource/Michael_Schumacher'],SpacyError,"Sorry, answer not found!"
3887,Who is the president of United World College of Costa Rica ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/United_World_College_of_Costa_Rica> <http://dbpedia.org/ontology/president> ?uri } ,"['http://dbpedia.org/resource/Nelson_Mandela', 'http://dbpedia.org/resource/Queen_Noor']",Costa Rica,Camino de Costa Rica
3889,Who is the  distributor of Rev (drink) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rev_(drink)> <http://dbpedia.org/ontology/distributor> ?uri } ,['http://dbpedia.org/resource/Bacardi'],Rev (drink),Jägermeister
3898,"What is the career of George Arceneaux, Jr. ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/George_Arceneaux,_Jr.> <http://dbpedia.org/ontology/occupation> ?uri } ",[],"George Arceneaux, Jr.",administrative assistant
3903,"List the affiliation of Indian general election, 2004 (Andhra Pradesh) ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Indian_general_election,_2004_(Andhra_Pradesh)> <http://dbpedia.org/ontology/affiliation> ?uri } ",[],Andhra Pradesh,eighth
3914,What is the alma mater of Andrew W. Lewis ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Andrew_W._Lewis> <http://dbpedia.org/ontology/almaMater> ?uri } ,"['http://dbpedia.org/resource/University_of_Chicago', 'http://dbpedia.org/resource/Harvard_University', 'http://dbpedia.org/resource/Dartmouth_College']",Lewis,Lewis University
3923,What is the draft team of Antoine Bibeau ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Antoine_Bibeau> <http://dbpedia.org/property/draftTeam> ?uri } ,['http://dbpedia.org/resource/Toronto_Maple_Leafs'],Antoine,Antoine
3927,From which team did Marv McFadden played ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Marv_McFadden> <http://dbpedia.org/property/pastteams> ?uri } ,['http://dbpedia.org/resource/Pittsburgh_Steelers'],Marv McFadden,"Sorry, answer not found!"
3931,Who are the trainersof Candice Michelle?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Candice_Michelle> <http://dbpedia.org/ontology/trainer> ?uri } ,"['http://dbpedia.org/resource/John_Cena', 'http://dbpedia.org/resource/Arn_Anderson', 'http://dbpedia.org/resource/Trish_Stratus', 'http://dbpedia.org/resource/CM_Punk', 'http://dbpedia.org/resource/Dave_Finlay']",Candice Michelle,"Batista, Shelton Benjamin, and Josh Mathews"
3932,Which constructor's team won the 1967 Mexican Grand Prix ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1967_Mexican_Grand_Prix> <http://dbpedia.org/property/firstTeam> ?uri } ,"['http://dbpedia.org/resource/Ford_Motor_Company', 'http://dbpedia.org/resource/Team_Lotus']",Mexican Grand Prix,GP de Mexico
3940,What is the title of Kakae ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kakae> <http://dbpedia.org/property/title> ?uri } ,"['http://dbpedia.org/resource/Aliʻi', 'http://dbpedia.org/resource/Maui']",Kakae,An Account of the Polynesian Race
3943,Who wrote Heroman?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heroman> <http://dbpedia.org/property/author> ?uri } ,['Tamon Ohta'],Heroman,Joey
3955,List the destinations of Novair International Airways ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Novair_International_Airways> <http://dbpedia.org/property/destinations> ?uri } ,"['http://dbpedia.org/resource/North_America', 'http://dbpedia.org/resource/Mediterranean_Sea']",Novair International Airways,External links
3956,Name the state of Timothy J. Roemer ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Timothy_J._Roemer> <http://dbpedia.org/property/state> ?uri } ,[],Timothy,Seattle
3961,Into which water bodies does Lake Uniamsi outflow?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lake_Uniamési> <http://dbpedia.org/property/outflow> ?uri } ,"['http://dbpedia.org/resource/Nile', 'http://dbpedia.org/resource/Zambezi', 'http://dbpedia.org/resource/Congo_River', 'http://dbpedia.org/resource/Benue_River']",Lake Uniamsi,"Sorry, answer not found!"
3962,Which river does Katima Mulilo Bridge cross?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Katima_Mulilo_Bridge> <http://dbpedia.org/property/crosses> ?uri } ,['http://dbpedia.org/resource/Zambezi'],Katima Mulilo Bridge,Namibia
3964,What is the debut team of Tom O'Malley ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tom_O'Malley> <http://dbpedia.org/property/debutteam> ?uri } ,['San Francisco Giants'],Tom O'Malley,Giants
3966,What is the political party to which Purnima Banerjee is a member of??, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Purnima_Banerjee> <http://dbpedia.org/ontology/party> ?uri } ,['http://dbpedia.org/resource/Indian_National_Congress'],Purnima Banerjee,Indian National Congress
3972,What is the currency of Republic of Montenegro (1992-2006) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Republic_of_Montenegro_(1992–2006)> <http://dbpedia.org/property/currency> ?uri } ,[],Montenegro,real estate taxes
3974,What is the club of Perianne Jones ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Perianne_Jones> <http://dbpedia.org/property/club> ?uri } ,['Nakkertok Ski Club'],Perianne Jones,International Ski Federation
3994,List all the mmebers of  Mekong River Commission?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mekong_River_Commission> <http://dbpedia.org/property/membership> ?uri } ,"['http://dbpedia.org/resource/Cambodia', 'http://dbpedia.org/resource/Thailand', 'http://dbpedia.org/resource/Laos', 'http://dbpedia.org/resource/Vietnam']",Mekong River Commission,Bibliography
3999,List the team for which Doug Acomb played ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Doug_Acomb> <http://dbpedia.org/property/playedFor> ?uri } ,['http://dbpedia.org/resource/Toronto_Maple_Leafs'],Doug Acomb,Toronto Maple Leafs
